num,fecha,clave_edo,estado,clave_mun,municipio,categoria,tipo
137,2016-10-02,22,Querétaro,22014,Querétaro,Vandalismo al Tren,Cierre de Angulares
138,2016-10-02,29,Tlaxcala,29011,Muñoz de Domingo Arenas,Vandalismo al Tren,Cierre de Angulares
139,2016-10-02,24,San Luis Potosí,24028,San Luis Potosí,Vandalismo al Tren,Apertura de Unidades
140,2016-10-02,05,Coahuila de Zaragoza,05030,Saltillo,Vandalismo al Tren,Cierre de Angulares
141,2016-10-03,11,Guanajuato,11001,Abasolo,Vandalismo al Tren,Cierre de Angulares
142,2016-10-03,22,Querétaro,22014,Querétaro,Vandalismo al Tren,Cierre de Angulares
143,2016-10-03,11,Guanajuato,11005,Apaseo el Grande,Vandalismo al Tren,Cierre de Angulares
144,2016-10-03,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
145,2016-10-03,11,Guanajuato,11020,León,Vandalismo al Tren,Cierre de Angulares
146,2016-10-03,11,Guanajuato,11027,Salamanca,Vandalismo al Tren,Cierre de Angulares
147,2016-10-03,14,Jalisco,14030,Chapala,Vandalismo al Tren,Cierre de Angulares
148,2016-10-03,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
149,2016-10-03,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
150,2016-10-03,26,Sonora,26048,Puerto Peñasco,Vandalismo al Tren,Cierre de Angulares
151,2016-10-03,26,Sonora,26020,Carbó,Vandalismo al Tren,Cierre de Angulares
152,2016-10-03,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
153,2016-10-03,22,Querétaro,22014,Querétaro,Vandalismo al Tren,Cierre de Angulares
154,2016-10-03,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
155,2016-10-03,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
156,2016-10-03,13,Hidalgo,13030,Ixmiquilpan,Vandalismo en Vía,Obstrucción de Vía
157,2016-10-03,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
158,2016-10-03,08,Chihuahua,08062,Saucillo,Vandalismo al Tren,Cierre de Angulares
159,2016-10-03,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
160,2016-10-03,11,Guanajuato,11030,San Felipe,Vandalismo en Vía,Componentes de Vía
